sex	age	height	weight	f1	f2	f3	f4	f5	f6	f7	f8	f9	f10
1	25.9545988113007	1.68587382219454	92.619036999365	2.97311906576405	3.2574149743836	1.28667353718869	1.71477889835071	-0.171598443989633	0.502854783442194	1.03182081044563	1.03392200020352	1.2039096720653	0.346709387712886
0	31.8796206390934	1.44654473888722	67.6826253859299	-1.30501842428399	-1.62961424133231	-2.07592316860408	-1.95239877490512	-0.235148898828912	0.0494138468201637	-2.22813644543276	-0.424433342052663	-1.62777454150056	-0.198926428678983
0	34.0847635961197	1.78855443130372	78.5139442871429	1.83439265905592	0.519234209902556	1.48702115367396	1.45793519503307	0.902869443502461	NA	1.85688201543323	1.38051758701397	0.856235486019305	-0.142166683313205
0	41.3691806022054	1.66321981007545	76.5894320151367	0.867558041116798	NA	-0.0683094563050643	-0.712587278258783	-0.222142076481197	-0.0017044991456149	0.410560823582826	0.19922063553014	-0.0530667754235817	0.36909983049614
0	35.7181605459216	1.47041113639744	65.1324044239725	0.698476943939201	-0.914441062988467	0.814112397006865	-0.840803243182462	-0.789967467729859	0.0586915265613167	0.580962258988897	-0.803140441623177	0.960908279129047	-0.112251580601036
1	23.5036041228456	1.69390835800246	91.9314527406328	1.02729767013487	0.123237259404869	0.741992598372949	-1.11147128256115	-0.728367385324747	0.321330245185384	-0.739315436799561	-0.244935395749378	-0.428002941727241	-0.182060203476858
0	28.1939654164496	1.49965529398044	73.4487032014834	-1.86639862210616	-1.00375431550601	-1.31191172464293	-1.36204919624709	-1.53940473224433	-0.686212034659919	-1.93510092656288	1.00418077798689	-0.954469122434166	-0.169249794044719
0	44.7453261805696	1.73272966674726	78.5985728640337	-0.137271856507942	1.85681383829148	-1.5224338079979	-1.13261400489501	-0.193071440324085	-0.941260569041784	0.890085786419365	-0.779916191151133	0.221366517683224	-0.0476808295121465
0	34.1524649979825	1.59232214500959	73.3472192921982	0.0364732366664537	0.654531698144061	-0.0349642147804199	0.879076913365414	-0.152077200214202	0.15897387038217	0.974039660287229	-0.895075645281413	0.447725274899773	-0.612405471550655
1	38.1391177293051	1.88448394540861	99.4864233741784	-0.218267129883383	NA	-0.339466012917582	0.216577911419733	2.47262127959963	2.4160068719879	-1.27184108469633	-0.335751678672755	-1.43377305409433	-0.599371525783424
0	29.4965986041058	1.69755938950905	78.142232490125	-1.78699401934367	-2.29109535334657	-0.251929976726754	0.547268445556701	-0.770809193315975	-1.15391738861493	-0.403686803789642	-0.749429273659387	-0.111776984232501	-1.80054541645501
1	28.6189761824839	1.85180200800628	90.5935793602661	-1.52145667614601	-0.0940772570543815	-1.15464111610535	0.25196279978894	1.49107415970176	1.71694168254112	0.0283169632281207	1.2004869102338	-1.00375770168519	1.99190054903102
1	36.4799738781391	1.87745608599022	90.3615770713224	-1.49855429616882	-1.50992981375275	-0.466319624191132	-0.255700930233359	-0.395302531596549	-0.339982170052742	-0.412602837023241	0.123331376670339	-1.08807480981583	-1.52677959960708
1	36.1167923712388	1.6925340747514	85.436205309033	0.164470791129849	0.713666362160588	0.448299087846153	-0.107695102850517	-1.20163955843697	-1.18481203863023	1.46594926887174	0.367744949005232	0.359211368218906	1.08854289232923
1	40.5444412408794	1.7917244323026	89.9574665025252	0.628214549586211	1.25852740535141	0.563390162729498	-1.14379061271138	-0.797756412795776	-1.25199925416891	0.905146757341737	-0.392181130212715	0.769557561050776	0.824175323543581
0	38.5218493208032	1.55180360073461	74.9653913634765	0.114618266408749	-0.118052751319255	0.309767223599927	-0.489750787759996	0.430006896314961	0.0917678786378323	0.869180013213127	-0.0305868201203193	0.477677007367756	-0.148560236842034
0	24.8176668860446	1.54223443030762	75.660521460238	-1.20218334705197	-1.30019967552516	-1.43802110731627	-0.665718852275363	-0.467578677849661	0.136718214780857	-1.55376733173414	0.941944792194679	-1.23001955992732	1.51169376118328
1	32.2380539396693	1.81799635719889	88.7147250541128	-0.604338454332783	-2.00776976315362	0.8407661619072	-0.218165040592198	-1.6262857352864	NA	0.76043739721733	-0.433427764585471	0.678815645339336	0.636798484749843
1	32.380508420809	1.59764396117534	88.0958122902225	-0.671005805955684	-1.08692421481441	0.50942451290873	1.10684008854143	-1.59607424449637	-1.43394122257287	-1.38450178110774	-0.634769633068376	0.36674703423913	0.467152848872004
1	30.717448634376	1.71391362075782	91.5790358491335	NA	0.456124794949119	-0.0753607781981825	0.747620117458826	-0.891572636681647	-0.567990977039579	0.101610756702688	0.468005553103856	NA	1.8044154821933
0	40.1301859607	1.76443650278359	87.5467798668401	-0.446895713410787	0.841087006100172	0.533183762661066	0.816927241932458	1.26072902929049	0.601672653749252	1.67986564511425	0.763909965503549	0.707950884898701	0.257713747403906
