f1	f2	f3	f4	f5	f6	f7	f8	f9	f10
1	0.690651014668138	0.484517646228829	0.0547239407537864	0.330640069217464	0.35794264182441	0.496292687034939	0.149521527034656	0.376007432418025	0.116282148874484
0.690651014668138	1	0.42493038883621	0.116252117958053	0.225636528677685	0.26506888965022	0.471004151589267	0.206638867150443	0.386805134319283	0.21733296677095
0.484517646228829	0.42493038883621	1	0.32802146324901	0.214865426239869	0.23185983477489	0.706839476870313	0.0672448636810651	0.851050390090603	0.0409515577390336
0.0547239407537864	0.116252117958053	0.32802146324901	1	0.157178620500602	0.110227937566176	0.349055363642708	0.238637026408937	0.513159371485099	0.078635572879492
0.330640069217464	0.225636528677685	0.214865426239869	0.157178620500602	1	0.923562034158794	0.298975036327075	0.30057671389529	0.137689926830264	0.144116620670382
0.35794264182441	0.26506888965022	0.23185983477489	0.110227937566176	0.923562034158794	1	0.297634419401364	0.281768985001789	0.14163044113138	0.165835497534665
0.496292687034939	0.471004151589267	0.706839476870313	0.349055363642708	0.298975036327075	0.297634419401364	1	0.1881804355869	0.696147654813304	0.0858972295229915
0.149521527034656	0.206638867150443	0.0672448636810651	0.238637026408937	0.30057671389529	0.281768985001789	0.1881804355869	1	0.0812080168318291	0.565278487095249
0.376007432418025	0.386805134319283	0.851050390090603	0.513159371485099	0.137689926830264	0.14163044113138	0.696147654813304	0.0812080168318291	1	0.0168599086219073
0.116282148874484	0.21733296677095	0.0409515577390336	0.078635572879492	0.144116620670382	0.165835497534665	0.0858972295229915	0.565278487095249	0.0168599086219073	1
